Date,Gold,Silver,Inflation
2000-09-01,-1.69%,-2.08%,0.52%
2000-11-01,-1.28%,-4.59%,0.17%
2000-12-01,0.70%,-1.90%,0.23%
2001-01-01,-2.35%,4.49%,0.57%
2001-02-01,0.45%,-6.66%,0.23%
2001-03-01,-3.34%,-4.34%,0.06%
2001-05-01,2.87%,2.76%,0.51%
2001-06-01,2.00%,-2.37%,0.23%
2001-08-01,1.40%,-3.03%,0.00%
2001-09-01,6.56%,11.65%,0.39%
2001-10-01,-4.41%,-9.32%,-0.28%
2001-11-01,-2.00%,-2.04%,-0.06%
2001-12-01,1.75%,10.93%,-0.06%
2002-01-01,1.22%,-7.93%,0.17%
2002-02-01,5.18%,6.67%,0.17%
2002-03-01,1.99%,3.20%,0.28%
2002-04-01,2.08%,-2.35%,0.45%
2002-05-01,5.70%,10.90%,0.11%
2002-06-01,-3.98%,-3.84%,0.06%
2002-07-01,-3.29%,-4.92%,0.22%
2002-08-01,3.03%,-3.44%,0.28%
2002-10-01,1.79%,1.40%,0.22%
2002-11-01,-0.38%,-1.89%,0.17%
2003-01-01,16.26%,9.95%,0.44%
2003-02-01,-4.91%,-5.52%,0.55%
2003-03-01,-4.08%,-2.70%,0.16%
2003-04-01,0.95%,3.97%,-0.38%
2003-05-01,7.49%,-2.41%,-0.16%
2003-07-01,-2.88%,13.04%,0.33%
2003-08-01,6.13%,-0.14%,0.44%
2003-09-01,2.58%,0.55%,0.33%
2003-10-01,-0.23%,-1.52%,-0.11%
2003-11-01,3.20%,5.85%,0.05%
2003-12-01,4.76%,11.17%,0.27%
2004-01-01,-3.25%,4.92%,0.43%
2004-03-01,6.24%,27.06%,0.21%
2004-04-01,-9.43%,-23.41%,0.16%
2004-05-01,1.81%,0.44%,0.43%
2004-06-01,-0.36%,-5.39%,0.37%
2004-07-01,-0.41%,13.40%,0.11%
2004-09-01,7.08%,5.59%,0.32%
2004-10-01,2.34%,5.44%,0.53%
2004-11-01,5.32%,5.91%,0.47%
2004-12-01,-3.06%,-11.86%,0.00%
2005-01-01,-3.59%,-1.03%,-0.05%
2005-02-01,3.49%,9.23%,0.42%
2005-03-01,-1.79%,-2.28%,0.36%
2005-04-01,1.47%,-4.02%,0.31%
2005-06-01,0.21%,1.83%,0.05%
2005-07-01,-1.38%,2.99%,0.62%
2005-08-01,0.91%,-6.31%,0.62%
2005-09-01,8.11%,9.98%,1.38%
2005-10-01,-0.83%,1.23%,0.15%
2005-11-01,6.34%,9.67%,-0.50%
2005-12-01,4.55%,6.52%,0.00%
2006-02-01,8.61%,10.20%,0.05%
2006-03-01,3.60%,18.11%,0.15%
2006-04-01,12.03%,17.68%,0.50%
2006-05-01,-1.43%,-8.23%,0.30%
2006-06-01,-4.51%,-12.00%,0.25%
2006-07-01,3.37%,3.80%,0.55%
2006-08-01,-1.31%,13.91%,0.44%
2006-09-01,-4.36%,-11.24%,-0.49%
2006-11-01,8.07%,21.62%,0.05%
2006-12-01,-1.81%,-7.95%,0.54%
2007-01-01,2.64%,5.43%,0.17%
2007-02-01,2.67%,4.34%,0.39%
2007-03-01,-0.96%,-5.04%,0.52%
2007-05-01,-0.30%,0.14%,0.41%
2007-06-01,-1.95%,-7.88%,0.23%
2007-08-01,3.84%,-2.35%,0.03%
2007-09-01,10.37%,14.35%,0.42%
2007-10-01,6.62%,4.23%,0.31%
2007-11-01,-1.24%,-2.88%,0.79%
2007-12-01,6.74%,5.97%,0.29%
2008-01-01,10.52%,14.54%,0.34%
2008-02-01,5.35%,16.88%,0.24%
2008-03-01,-5.75%,-12.79%,0.36%
2008-04-01,-5.83%,-4.47%,0.23%
2008-05-01,2.84%,1.97%,0.59%
2008-07-01,3.00%,5.49%,0.71%
2008-08-01,-9.26%,-23.34%,-0.15%
2008-09-01,5.41%,-10.11%,0.09%
2008-10-01,-18.01%,-20.45%,-0.86%
2008-11-01,13.87%,4.68%,-1.77%
2008-12-01,8.26%,10.65%,-0.82%
2009-01-01,4.95%,11.45%,0.25%
2009-04-01,-3.95%,-2.03%,0.10%
2009-05-01,9.89%,26.78%,0.15%
2009-06-01,-5.28%,-12.99%,0.83%
2009-07-01,2.87%,2.64%,-0.03%
2009-08-01,-0.21%,6.93%,0.33%
2009-09-01,5.92%,11.67%,0.19%
2009-10-01,3.14%,-2.34%,0.30%
2009-12-01,5.34%,3.55%,0.05%
2010-01-01,-1.11%,-3.80%,0.06%
2010-02-01,3.26%,1.96%,-0.10%
2010-03-01,-0.45%,6.13%,0.03%
2010-04-01,6.00%,6.28%,0.02%
2010-05-01,2.72%,-1.07%,-0.05%
2010-06-01,2.75%,1.41%,-0.04%
2010-07-01,-5.12%,-3.66%,0.19%
2010-09-01,10.67%,21.19%,0.16%
2010-10-01,3.77%,12.67%,0.35%
2010-11-01,2.06%,14.76%,0.25%
2010-12-01,2.61%,9.67%,0.40%
2011-01-01,-6.14%,-8.85%,0.32%
2011-02-01,5.66%,19.98%,0.32%
2011-03-01,2.10%,12.03%,0.52%
2011-04-01,8.14%,28.28%,0.47%
2011-06-01,-3.45%,-28.35%,0.00%
2011-07-01,8.39%,15.17%,0.26%
2011-08-01,12.30%,4.01%,0.32%
2011-09-01,-11.38%,-27.96%,0.22%
2011-10-01,6.41%,14.30%,0.07%
2011-11-01,1.24%,-4.68%,0.18%
2011-12-01,-10.30%,-14.84%,0.02%
2012-02-01,9.20%,24.06%,0.21%
2012-03-01,-2.37%,-6.11%,0.21%
2012-05-01,-6.39%,-14.56%,-0.21%
2012-06-01,2.62%,-0.58%,-0.08%
2012-08-01,5.06%,13.74%,0.58%
2012-09-01,5.13%,10.03%,0.48%
2012-10-01,-3.03%,-6.46%,0.27%
2012-11-01,-0.38%,2.84%,-0.17%
2012-12-01,-2.11%,-9.13%,-0.01%
2013-01-01,-0.85%,3.85%,0.20%
2013-02-01,-4.99%,-9.38%,0.54%
2013-03-01,1.08%,-0.36%,-0.28%
2013-04-01,-7.69%,-14.66%,-0.21%
2013-05-01,-5.41%,-7.94%,0.04%
2013-06-01,-12.12%,-12.49%,0.24%
2013-07-01,7.24%,0.85%,0.20%
2013-08-01,6.38%,19.61%,0.24%
2013-10-01,-5.19%,-6.95%,0.05%
2013-11-01,-5.52%,-8.48%,0.18%
2014-01-01,-0.84%,-4.38%,0.24%
2014-02-01,6.56%,10.99%,0.11%
2014-03-01,-2.88%,-6.93%,0.20%
2014-04-01,0.95%,-3.12%,0.19%
2014-05-01,-3.86%,-2.44%,0.19%
2014-07-01,2.87%,9.22%,0.11%
2014-08-01,0.35%,-4.79%,-0.02%
2014-09-01,-5.86%,-12.33%,0.01%
2014-10-01,-3.25%,-5.46%,-0.02%
2014-11-01,0.35%,-3.66%,-0.19%
2014-12-01,0.74%,0.49%,-0.31%
2015-01-01,7.99%,10.45%,-0.64%
2015-04-01,-7.52%,-6.21%,0.10%
2015-05-01,0.59%,3.47%,0.33%
2015-06-01,-1.50%,-6.79%,0.28%
